Source,Reference,Organisms,Thermoregulation,Log body mass,Dispersal type,Trophic position,Realm,Habitat type,Hemisphere,Longitude,Scale,Grain log area kmsq,Diversity type,Range,Significance,Global richness log S,Measure,N,Slope b,SE b,Intercept,rz,Var rz
Michener 1979,Ann Mo Bot Gard 66:277-347,Bees,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,4.8,Alpha,25,No,4.3,S,12,-6.53,6.44,768.85,-0.32,0.11
Michener 1979,Ann Mo Bot Gard 66:277-347,Bees,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,5.4,Gamma,42,No,4.3,S,7,-63.21,29.67,3184.8,-0.85,0.25
Michener 1979,Ann Mo Bot Gard 66:277-347,Bees,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,S,Worldwide,Local,,Gamma,33,No,4.3,S,5,-1.28,1.51,248.5,-0.47,0.5
Michener 1979,Ann Mo Bot Gard 66:277-347,Bees,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,S,Worldwide,Regional,,Gamma,18,No,4.3,S,4,87.15,38.21,-827.45,1.26,1
Michener 1979,Ann Mo Bot Gard 66:277-347,Bees,Ecto,-2.3,Flying,Herbivores,Terrestrial,All terrestrial,S,Worldwide,Regional,4.96,Gamma,18,No,4.3,S,5,-13,6.81,344.9,-0.77,0.5
Miserendino 2001,Hydrobiologia 444:147-158,Zoobenthos,Ecto,-1.58,Pelagic larvae,Omnivores,Freshwater,Stream,S,New World,Local,-2,Alpha,10,Yes,4.3,S,29,-0.99,0.34,60.71,-0.53,0.04
Mokievsky and Azovksy 2002,Mar Ecol Prog Ser 238:101-108,Nematodes,Ecto,-5.85,Passive,Microbivores,Marine,Deep sea,Both,Worldwide,Local,,Alpha,52,Yes,4.1,S,138,0.52,0.26,32.22,0.17,0.01
Mokievsky and Azovksy 2002,Mar Ecol Prog Ser 238:101-108,Nematodes,Ecto,-5.85,Passive,Microbivores,Marine,Benthos coastal,Both,Worldwide,Regional,3,Gamma,61,No,4.1,Sst,32,0,0,0.41,0,0.03
Mokievsky and Azovksy 2002,Mar Ecol Prog Ser 238:101-108,Nematodes,Ecto,-5.85,Passive,Microbivores,Marine,Deep sea,Both,Worldwide,Regional,3,Gamma,52,No,4.1,Sst,8,-0.01,0.01,0.67,-0.44,0.2
Moore et al. 2002,Proc R Soc Lond B 269:1645-1653,Total vertebrates,,2.58,,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,4.68,Ranges,20,Yes,4.32,S,11,-26.74,3.67,783.3,-1.62,0.13
Moore et al. 2002,Proc R Soc Lond B 269:1645-1653,Total vertebrates,,2.58,,Omnivores,Terrestrial,All terrestrial,S,Eurafrica,Regional,4.68,Ranges,34,Yes,4.32,S,18,-7.6,0.79,720.05,-1.61,0.07
Morrison 1997,Acta Oecol 18:685-695,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,Islands,S,Australasia,Local,1.5,Alpha,17,No,3.78,S,13,-0.53,0.28,21.14,-0.55,0.1
OBrien et al. 1998,Ecography 21:495-509,Woody plants,Ecto,4.35,Seeds,Autotrophs,Terrestrial,Forest,S,Eurafrica,Regional,4.40,Ranges,19.5,No,4.85,S,164,-2.92,1.98,222.28,-.12,.01
Owen and Owen 1974,Nature 249:583-584,Ichneumonidae,Ecto,-2.30,Flying,Parasite,Terrestrial,Human,N,Eurafrica,Local, ,Alpha,55,No,4.48,S,4,4.97,4.13,278.45,.77,1.00
Paine 1966,Am Nat 100:65-75,Macroinvertebrates,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Local, ,Alpha,39,No,5.00,S,3,.10,1.03,18.75,.09, 
Patterson 1943,Cited in C. B. Williams 1964. Patterns in the balance of nature. Academic Press. New York,Fruitflies,Ecto,-3.00,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,4.90,Gamma,20.75,Yes,3.60,Sst,34,-.01,.00,.37,-.72,.03
Patterson 1943,Cited in C. B. Williams 1964. Patterns in the balance of nature. Academic Press. New York,Fruitflies,Ecto,-3.00,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,4.90,Gamma,20.75,Yes,3.60,Index,34,-.10,.03,5.99,-.64,.03
Pearson and Carroll 1998,Conserv Biol 45:809-821,Tiger beetles,Ecto,-.35,Flying,Carnivores,Terrestrial,All terrestrial,S,Australasia,Regional,5.09,Gamma,22,Yes,3.32,S,67,-.44,.11,18.14,-.50,.02
Pearson and Carroll 1998,Conserv Biol 45:809-821,Tiger beetles,Ecto,-.35,Flying,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,4.88,Gamma,39,Yes,3.32,S,208,-.56,.03,36.02,-1.10,.00
Pearson and Carroll 1998,Conserv Biol 45:809-821,Tiger beetles,Ecto,-.35,Flying,Carnivores,Terrestrial,All terrestrial,N,Australasia,Regional,4.88,Gamma,29,Yes,3.32,S,61,-.77,.30,34.84,-.33,.02
Pearson and Carroll 1998,Conserv Biol 45:809-821,Butterflies,Ecto,-.15,Flying,Herbivores,Terrestrial,All terrestrial,S,Australasia,Regional,5.09,Gamma,22,No,4.20,S,67,-1.88,1.00,100.85,-.23,.02
Pearson and Carroll 1998,Conserv Biol 45:809-821,Butterflies,Ecto,-.15,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,4.88,Gamma,39,Yes,4.20,S,208,-2.87,.18,226.45,-.97,.00
Pearson and Carroll 1998,Conserv Biol 45:809-821,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,Australasia,Regional,5.09,Gamma,22,No,3.95,S,67,-.59,.66,158.02,-.11,.02
Pearson and Carroll 1998,Conserv Biol 45:809-821,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.88,Gamma,39,Yes,3.95,S,208,-.10,.16,148.41,-.45,.00
Pearson and Carroll 1998,Conserv Biol 45:809-821,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,Australasia,Regional,4.88,Gamma,29,No,3.95,S,61,2.88,2.27,154.33,.16,.02
Pejler 1977,Arch Hydrobiol 53(suppl.):255-306,Rotifers,Ecto,-6.19,Pelagic larvae,Microbivores,Freshwater,Lake,Both,Worldwide,Regional, ,Alpha,55,No,2.05,S,6,.41,.20,29.51,.91,.33
Pejler 1977,Arch Hydrobiol 53(suppl.):255-306,Rotifers,Ecto,-6.19,Pelagic larvae,Microbivores,Freshwater,Lake,N,Australasia,Local, ,Alpha,55,No,2.05,S,4,.36,.17,-.33,1.22,1.00
Pejler 1977,Arch Hydrobiol 53(suppl.):255-306,Rotifers,Ecto,-6.19,Pelagic larvae,Microbivores,Freshwater,Lake,N,Eurafrica,Local, ,Alpha,55,No,2.05,S,34,-.02,.03,9.53,-.11,.03
Pejler 1977,Arch Hydrobiol 53(suppl.):255-306,Rotifers,Ecto,-6.19,Pelagic larvae,Microbivores,Freshwater,Lake,S,Eurafrica,Local, ,Alpha,17,No,2.05,S,5,-.01,.20,10.04,-.03,.50
Pemberton 1998,J Biogeogr 25:661-668,Ants,Ecto,-2.40,Flying,Omnivores,Terrestrial,All terrestrial,N,Worldwide,Regional, ,Gamma,40,Yes,3.78,S,14,-1.77,.46,135.28,-.96,.09
Pemberton 1998,J Biogeogr 25:661-668,Plants with extrafloral nectaries,Ecto,1.00,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Australasia,Regional, ,Gamma,38,Yes,4.18,S,5,-.29,.25,24.62,-.64,.50
Penev 1991,Oikos 63:180-192,Coleoptera,Ecto,-.35,Mobility,Omnivores,Terrestrial,Forest,N,Australasia,Local,-7.20,Alpha,17.5,No,3.95,S,23,.03,.13,3.38,.05,.05
Penev 1991,Oikos 63:180-192,Coleoptera,Ecto,-.35,Mobility,Omnivores,Terrestrial,Forest,N,Australasia,Local,-7.20,Alpha,17.5,No,3.95,Index,23,.01,.03,.53,.08,.05
Pianka 1967,Ecology 48:333-351,Lizards,Ecto,1.53,Mobility,Carnivores,Terrestrial,Nonforest,N,New World,Regional, ,Gamma,15,Yes,3.49,S,12,-.40,.08,21.75,-1.23,.11
Pomeroy and Lewis 1987,Biol Conserv 40:11-28,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Local,1.80,Alpha,15.4,No,3.95,S,19,-5.32,6.02,354.00,-.21,.06
Pomeroy and Lewis 1987,Biol Conserv 40:11-28,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,Eurafrica,Local,1.45,Alpha,2.8,X,3.95,S,7, , , , , 
Pomeroy and Lewis 1987,Biol Conserv 40:11-28,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,Both,New World,Regional,5.50,Gamma,21,No,3.95,S,12,-36.51,20.16,1493.00,-.55,.11
Pomeroy and Lewis 1987,Biol Conserv 40:11-28,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,5.70,Gamma,19,Yes,3.95,S,10,-28.40,5.86,1002.00,-1.31,.14
Pomeroy and Lewis 1987,Biol Conserv 40:11-28,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,Eurafrica,Regional,5.40,Gamma,20,No,3.95,S,8,-10.94,9.43,853.00,-.45,.20
Poore and Wilson 1993,Nature 361:597-598,Isopods,Ecto,-1.30,Mobility,Omnivores,Marine,Deep sea,N,Atlantic,Local, ,Alpha,70,Yes,3.60,Sst,46,-.40,.04,36.36,-1.21,.02
Poore and Wilson 1993,Nature 361:597-598,Isopods,Ecto,-1.30,Mobility,Omnivores,Marine,Deep sea,S,Worldwide,Local, ,Alpha,65,No,3.60,Sst,35,.01,.11,24.51,.01,.03
Poulin 1995,Ecol Monogr 65:283-302,Fish parasites,Ecto,-5.55,Transfer,Parasite,Marine,Biota,Both,Worldwide,Local, ,Alpha,19,No,3.85,S,72,.06,.05,2.78,.15,.01
Poulin 1995,Ecol Monogr 65:283-302,Fishectoparasites,Ecto,-5.55,Transfer,Parasite,Marine,Biota,Both,Worldwide,Local, ,Alpha,19,No,3.85,S,40,-.03,.03,3.85,-.17,.03
Poulin 1995,Ecol Monogr 65:283-302,Bird parasites,Ecto,-5.55,Transfer,Parasite,Terrestrial,Biota,Both,Worldwide,Local, ,Alpha,29,No,3.85,S,54,-.13,.11,15.58,-.16,.02
Poulin 1995,Ecol Monogr 65:283-302,Mammal parasites,Ecto,-5.55,Transfer,Parasite,Terrestrial,Biota,Both,Worldwide,Local, ,Alpha,44,No,3.85,S,77,-.02,.04,7.83,-.05,.01
Price et al. 1998,J Biogeogr 25:581-591,Galling insects,Ecto,-2.52,Flying,Parasite,Terrestrial,All terrestrial,Both,Worldwide,Regional, ,Gamma,80,No,3.90,Mean S,28,-.10,.05,11.26,-.37,.04
Proches 2001,Biol J Linn Soc 74:197-203,Marine plants,Ecto,.70,Seeds,Autotrophs,Marine,Benthos coastal,Both,Worldwide,Regional,7.00,Ranges,90,Yes,3.48,Sst,12,-.03,.01,1.98,-1.32,.11
Proches 2001,Biol J Linn Soc 74:197-203,Marine birds,Homeo,2.85,Flying,Carnivores,Marine,Pelagic ocean,Both,Worldwide,Regional,7.00,Ranges,90,Yes,2.70,Sst,12,-.01,.00,1.17,-.95,.11
Proches 2001,Biol J Linn Soc 74:197-203,Marine mammals,Homeo,4.71,Mobility,Omnivores,Marine,Coastal pelagic,Both,Worldwide,Regional,7.00,Ranges,90,Yes,2.08,Sst,12,.03,.00,-.05,1.47,.11
Proches 2001,Biol J Linn Soc 74:197-203,Marine reptils,Ecto,2.81,Mobility,Omnivores,Marine,Coastal pelagic,Both,Worldwide,Regional,7.00,Ranges,90,Yes,1.70,Sst,12,-.03,.01,2.04,-1.31,.11
Procter 1984,J Biogeogr 11:103-117,Nematodes,Ecto,-5.85,Passive,Microbivores,Terrestrial,Soil,N,Worldwide,Local, ,Alpha,65,No,4.10,S,5,.75,3.78,137.50,.11,.50
Qian 1998,J Biogeogr 25:829-836,Vascular plants,Ecto,1.00,Seeds,Autotrophs,Terrestrial,All terrestrial,N,New World,Regional,5.86,Gamma,45,Yes,5.37,Higher,13,-25.10,1.57,1983.76,-2.27,.10
Qian 2001,J Biogeogr 28:525-534,Plants,Ecto,1.00,Seeds,Autotrophs,Terrestrial,All terrestrial,N,New World,Regional,6.70,Gamma,35,Yes,5.37,Higher,4,-40.15,5.54,2944.24,-2.36,1.00
Rabenold 1978,Ecol Monogr 48:397-428,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,Forest,N,New World,Local, ,Gamma,11,Yes,3.95,S,9,1.37, ,-36.98,1.47,.17
Rabenold 1979,Am Nat 114:275-286,Passerines,Homeo,2.02,Flying,Omnivores,Terrestrial,Forest,N,New World,Local, ,Gamma,17,Yes,3.76,S,112,1.05, ,-20.88,.78,.01
Rabenold 1979,Am Nat 114:275-286,Passerines,Homeo,2.02,Flying,Omnivores,Terrestrial,Forest,N,New World,Local, ,Gamma,17,Yes,3.76,Index,112,.05, ,.63,.78,.01
Rabinovich and Rapoport 1975,J Biogeogr 2:141-157,Passerines,Homeo,2.02,Flying,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,4.00,Ranges,33,Yes,3.76,S,34,-5.08,.26,282.74,-1.96,.03
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,4.09,Ranges,55,X,2.63,S,1689, , , ,-.81,.00
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,4.69,Ranges,55,X,2.63,S,457, , , ,-.72,.00
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.04,Ranges,55,X,2.63,S,216, , , ,-.68,.00
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.29,Ranges,55,X,2.63,S,129, , , ,-.68,.01
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.49,Ranges,55,X,2.63,S,90, , , ,-.71,.01
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.65,Ranges,55,X,2.63,S,66, , , ,-.73,.02
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.78,Ranges,55,X,2.63,S,49, , , ,-.69,.02
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.90,Ranges,55,X,2.63,S,40, , , ,-.72,.03
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,6.00,Ranges,55,X,2.63,S,35, , , ,-.71,.03
Rahbek and Graves 2000,Proc R Soc Lond B 267:2259-2265,Hummingbirds,Homeo,.69,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,6.09,Ranges,55,X,2.63,S,29, , , ,-.73,.04
Ranta 1982,Oikos 38:202-209,Bumblebees,Ecto,-.42,Flying,Herbivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,4.00,Ranges,19.7,No,2.60,S,172,.01,.04,12.84,.02,.01
Reed 2003,Ecography 26:107-117,Elapid snakes,Ecto,2.88,Mobility,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,5.85,Ranges,50,Yes,2.26,S,11,.37,.04,18.45,-1.89,.13
Reed 2003,Ecography 26:107-117,Viperid snakes,Ecto,2.88,Mobility,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,5.99,Ranges,50,Yes,2.28,S,9,-.54,.07,22.35,-1.85,.17
Reed 2003,Ecography 26:107-117,Elapid snakes,Ecto,2.88,Mobility,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,5.85,Ranges,50,Yes,2.26,S,11,-.31,.10,2.96,-.88,.13
Reed 2003,Ecography 26:107-117,Viperid snakes,Ecto,2.88,Mobility,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,5.99,Ranges,50,Yes,2.28,S,9,-.64,.06,22.76,-2.25,.17
Reid 1994,Hydrobiologia 292/293:341-349,Benthic copepods,Ecto,-3.74,Pelagic larvae,Omnivores,Freshwater,All freshwater,N,New World,Local, ,Alpha,65,No,3.90,S,23,-.02,.08,22.98,-.06,.05
Reid 1994,Hydrobiologia 292/293:341-349,Benthic copepods,Ecto,-3.74,Pelagic larvae,Omnivores,Freshwater,All freshwater,N,New World,Local, ,Alpha,65,Yes,3.90,S,15,.19,.07,7.22,.66,.08
Reid 1994,Hydrobiologia 292/293:341-349,Benthic copepods,Ecto,-3.74,Pelagic larvae,Omnivores,Freshwater,All freshwater,S,New World,Local, ,Alpha,52,No,3.90,S,11,-.13,.22,26.07,-.20,.13
Reid 1994,Hydrobiologia 292/293:341-349,Benthic copepods,Ecto,-3.74,Pelagic larvae,Omnivores,Freshwater,All freshwater,S,New World,Local, ,Alpha,52,No,3.90,S,7,.10,.29,16.65,.15,.25
Rex et al. 1993,Nature 365:636-639,Isopods,Ecto,-1.30,Mobility,Omnivores,Marine,Deep sea,N,Atlantic,Local, ,Alpha,80,Yes,3.60,Index,40,-.05,.01,5.21,-1.19,.03
Rex et al. 1993,Nature 365:636-639,Gastropods,Ecto,-1.60,Pelagic larvae,Omnivores,Marine,Deep sea,N,Atlantic,Local, ,Alpha,80,Yes,5.00,Index,35,-.03,.01,4.14,-1.03,.03
Rex et al. 1993,Nature 365:636-639,Bivalves,Ecto,-1.10,Pelagic larvae,Suspension,Marine,Deep sea,N,Atlantic,Local, ,Alpha,80,Yes,4.30,Index,46,-.02,.00,2.68,-.63,.02
Rex et al. 2000,Proc Natl Acad Sci USA 97:4082-4085,Isopods,Ecto,-1.30,Mobility,Omnivores,Marine,Deep sea,N,Atlantic,Local, ,Alpha,80,Yes,3.60,Sst,50,-.10,.02,11.69,-.80,.02
Rex et al. 2000,Proc Natl Acad Sci USA 97:4082-4085,Isopods,Ecto,-1.30,Mobility,Omnivores,Marine,Deep sea,S,Atlantic,Local, ,Alpha,40,No,3.60,Sst,21,-.11,.06,11.27,-.49,.06
Rex et al. 2000,Proc Natl Acad Sci USA 97:4082-4085,Gastropods,Ecto,-1.60,Pelagic larvae,Omnivores,Marine,Deep sea,N,Atlantic,Local, ,Alpha,80,Yes,5.00,Sst,34,-.21,.02,20.05,-1.24,.03
Rex et al. 2000,Proc Natl Acad Sci USA 97:4082-4085,Gastropods,Ecto,-1.60,Pelagic larvae,Omnivores,Marine,Deep sea,S,Atlantic,Local, ,Alpha,40,No,5.00,Sst,24,-.06,.05,15.28,-.27,.05
Rex et al. 2000,Proc Natl Acad Sci USA 97:4082-4085,Bivalves,Ecto,-1.10,Pelagic larvae,Suspension,Marine,Deep sea,N,Atlantic,Local, ,Alpha,80,Yes,4.30,Sst,43,-.49,.05,45.95,-1.30,.03
Rex et al. 2000,Proc Natl Acad Sci USA 97:4082-4085,Bivalves,Ecto,-1.10,Pelagic larvae,Suspension,Marine,Deep sea,S,Atlantic,Local, ,Alpha,40,No,4.30,Sst,18,-.26,.31,35.54,-.21,.07
Rhoades 1995,Cited in Nadkarni et al.. in Levin 2001. vol. 3. pp. 27-40,Mosses,Ecto,-1.00,Seeds,Autotrophs,Terrestrial,Forest,N,Worldwide,Local, ,Alpha,51,No,3.90,S,12,-.13,.29,27.54,-.14,.11
Rhoades 1995,Cited in Nadkarni et al.. in Levin 2001. vol. 3. pp. 27-40,Liverworts,Ecto,-1.00,Seeds,Autotrophs,Terrestrial,Forest,N,Worldwide,Local, ,Alpha,51,Yes,3.95,S,12,-1.29,.23,68.59,-1.35,.11
Rhoades 1995,Cited in Nadkarni et al.. in Levin 2001. vol. 3. pp. 27-40,Macrolichens,Ecto,-1.00,Seeds,Autotrophs,Terrestrial,Forest,N,Worldwide,Local, ,Alpha,44,No,4.20,S,11,.24,.18,27.03,.41,.13
Ribera et al. 2003,Ecography 26:145-152,Aquatic beetles,Ecto,-.35,Flying,Omnivores,Freshwater,All freshwater,N,Eurafrica,Regional,5.41,Gamma,23,No,3.70,S,15,-4.53,3.40,494.75,-.36,.08
Ribera et al. 2003,Ecography 26:145-152,Aquatic beetles,Ecto,-.35,Flying,Omnivores,Freshwater,All freshwater,N,Eurafrica,Regional,5.41,Gamma,23,Yes,3.70,Sst,15,-.01,.00,.42,-.83,.08
Richardson et al. 1995,J Veg Sci 6:329-342,Banksia,Ecto,1.00,Seeds,Autotrophs,Terrestrial,Nonforest,S,Australasia,Both,2.50,Gamma,X,Yes,1.88,S,40,-.46,.17,23.77,-.42,.03
Ricklefs and ORourke 1975,Evolution 29:313-324,Moths,Ecto,-1.15,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,26,Yes,5.3,S,3,-5.64,0.28,253.33,-3.8,
Rivadaneira et al. 2002,Mar Ecol Prog Ser 245:123-131,Herbivorous zoobenthos,Ecto,-1.58,Pelagic larvae,Herbivores,Marine,Benthos coastal,S,Pacific,Local,-6,Alpha,24,Yes,5,S,53,0.03,0.01,2.46,0.33,0.02
Rivadaneira et al. 2002,Mar Ecol Prog Ser 245:123-131,Herbivorous zoobenthos,Ecto,-1.58,Pelagic larvae,Herbivores,Marine,Benthos coastal,S,Pacific,Local,-2,Alpha,24,No,5,S,52,-0.04,0.07,20.25,-0.08,0.02
Rivadaneira et al. 2002,Mar Ecol Prog Ser 245:123-131,Herbivorous zoobenthos,Ecto,-1.58,Pelagic larvae,Herbivores,Marine,Benthos coastal,S,Pacific,Regional,2.4,Gamma,24,No,5,S,25,-0.05,0.1,46.1,-0.11,0.05
Rohde and Heap 1998,Int J Parasitol 28:461-474,Trematodes,Ecto,-5.55,Transfer,Parasite,Marine,Biota,Both,Worldwide,Regional,,Gamma,47,No,4.4,S,4,-3.21,1.52,250.84,-1.19,1
Rohde 1986,Hydrobiologia 137:21-28,Trematodes,Ecto,-5.55,Transfer,Parasite,Marine,Biota,N,Worldwide,Regional,,Gamma,45,No,4.4,S,5,-0.81,0.26,69.37,-1.36,0.5
Rohde 1986,Hydrobiologia 137:21-28,Trematodes,Ecto,-5.55,Transfer,Parasite,Marine,Biota,S,Worldwide,Regional,,Gamma,22,No,4.4,S,5,-1.91,1.64,103.02,-0.63,0.5
Roslin 2001,Ecography 24:511-524,Coleoptera,Ecto,-0.35,Flying,Microbivores,Terrestrial,Human,N,Eurafrica,Local,-1,Alpha,10,Yes,2.48,S,133,,,,-1.1,0.01
Roy et al. 1998,Proc Natl Acad Sci USA 95:3699-3702,Gastropods,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Regional,,Ranges,84,Yes,5,S,84,-10.96,0.9,791.8,-1.1,0.01
Roy et al. 1998,Proc Natl Acad Sci USA 95:3699-3702,Gastropods,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Pacific,Regional,,Ranges,73,Yes,5,S,73,-12.45,0.85,923.81,-1.32,0.01
Roy et al. 2000,Proc R Soc Lond B 267:293-299,Bivalves,Ecto,-1.1,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Pacific,Regional,4,Ranges,70,Yes,4.3,S,69,-6.41,0.35,424.28,-1.55,0.02
Ruggiero 1999,Ecoscience 6:338-354,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,5.09,Ranges,55,Yes,2.97,S,47,-0.8,,90,-0.98,0.02
Ruggiero 1999,Ecoscience 6:338-354,Rodents,Homeo,1.69,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5.09,Ranges,55,Yes,3.31,S,46,-0.73,,12,-0.81,0.02
Ruggiero 1999,Ecoscience 6:338-354,All mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5.09,Ranges,55,Yes,3.68,S,48,-0.73,,160,-0.83,0.02
Rutherford et al. 1999,Nature 400:749-753,Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Pelagic ocean,N,Worldwide,Regional,,Ranges,60,No,3.63,S,4,-0.17,0.15,24.4,-0.75,1
Sanders 1968,Am Nat 102:243-282,Macroinvertebrates,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Worldwide,Local,,Alpha,30,No,5,S,14,-1,0.64,65.98,-0.44,0.09
Sanders 1968,Am Nat 102:243-282,Macroinvertebrates,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Deep sea,N,Atlantic,Local,,Alpha,32,No,5,S,6,-0.02,0.75,66.6,-0.01,0.33
Santelices and Marquet 1998,Divers Distr 4:71-75,Macroalgae,Ecto,0.67,Seeds,Autotrophs,Marine,Benthos coastal,N,Atlantic,Regional,,Ranges,35,Yes,3.48,S,8,-3.06,0.49,262.11,-1.67,0.2
Santelices and Marquet 1998,Divers Distr 4:71-75,Macroalgae,Ecto,0.67,Seeds,Autotrophs,Marine,Benthos coastal,S,Pacific,Regional,,Ranges,55,Yes,3.48,S,12,1.15,0.38,33.2,0.85,0.11
Sax 2001,J Biogeogr 28:139-150,Exotic birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5,Gamma,65,No,3.95,S,14,-0.07,0.08,9.34,-0.24,0.09
Sax 2001,J Biogeogr 28:139-150,Exotic fish,Ecto,2.43,Mobility,Omnivores,Freshwater,All freshwater,N,New World,Regional,5,Gamma,30,Yes,4.4,S,7,-0.66,0.08,38.79,-2.06,0.25
Sax 2001,J Biogeogr 28:139-150,Exotic mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,5,Gamma,35,No,3.68,S,8,-0.1,0.09,11.01,-0.46,0.2
Sax 2001,J Biogeogr 28:139-150,Exotic mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5,Gamma,60,No,3.68,S,13,-0.06,0.08,9.3,-0.21,0.1
Sax 2001,J Biogeogr 28:139-150,Exotic mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5,Gamma,55,No,3.68,S,12,-0.02,0.05,5.98,-0.13,0.11
Sax 2001,J Biogeogr 28:139-150,Exotic plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Eurafrica,Regional,5,Gamma,35,Yes,5.37,S,8,-1.46,0.28,106.64,-1.5,0.2
Schall and Pianka 1978,Science 201:679-686,Insectivorous birds,Homeo,2.04,Flying,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,4.02,Ranges,16,Yes,3.7,S,18,-0.86,0.05,113.71,-2.15,0.07
Schall and Pianka 1978,Science 201:679-686,Insectivorous birds,Homeo,2.04,Flying,Carnivores,Terrestrial,All terrestrial,S,Australasia,Regional,4.76,Ranges,25,Yes,3.7,S,13,0.48,1.07,175.28,0.14,0.1
Schall and Pianka 1978,Science 201:679-686,Lizards,Ecto,1.53,Mobility,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,4.02,Ranges,16,Yes,3.49,S,18,-0.86,0.05,40.72,-2.15,0.07
